date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-02,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-02,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-02,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-02,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-02,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-02,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-03,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-04,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Maintain Status Quo,Morocco,MAR,2020-06-27,v3
2020-01-05,Rt,3.3,3.64,3.87,3.93,4.19,4.81,Surged Relax Interventions 50%,Morocco,MAR,2020-06-27,v3
2020-01-06,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Additional 50% Reduction,Morocco,MAR,2020-06-27,v3
2020-01-06,Rt,3.25,3.64,3.91,3.93,4.17,4.71,Maintain Status Quo,Morocco,MAR,2020-06-27,v3
