date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-26,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.93,3.45,3.72,3.82,4.19,4.91,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.93,3.45,3.72,3.82,4.19,4.91,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.93,3.45,3.72,3.82,4.19,4.91,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.83,3.44,3.77,3.79,4.19,4.78,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-26,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.83,3.44,3.77,3.79,4.19,4.78,Surged Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-26,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,hospital_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,ICU_incidence,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-26,Rt,2.83,3.44,3.77,3.79,4.19,4.78,Surged Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,cumulative_infections,0.05,0.5,1,0.67,1,1,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,infections,0.05,0.5,1,0.67,1,1,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,Rt,2.95,3.45,3.72,3.82,4.19,4.91,Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,cumulative_infections,0.05,0.5,1,0.67,1,1,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,infections,0.05,0.5,1,0.67,1,1,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,Rt,2.95,3.45,3.72,3.82,4.19,4.91,Maintain Status Quo,Nicaragua,NIC,2020-07-04,v3
2020-02-27,cumulative_infections,0.05,0.5,1,0.67,1,1,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,deaths,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,infections,0.05,0.5,1,0.67,1,1,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,Rt,2.95,3.45,3.72,3.82,4.19,4.91,Relax Interventions 50%,Nicaragua,NIC,2020-07-04,v3
2020-02-27,cumulative_infections,0,0,0,0.4,0.75,1.78,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,hospital_incidence,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
2020-02-27,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Nicaragua,NIC,2020-07-04,v3
