date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-20,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,deaths,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,infections,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,Rt,3.04,3.56,3.89,3.9,4.15,4.87,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-20,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,deaths,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,infections,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,Rt,3.04,3.56,3.89,3.9,4.15,4.87,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-20,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,deaths,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,ICU_incidence,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,infections,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-20,Rt,3.04,3.56,3.89,3.9,4.15,4.87,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-21,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,deaths,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,infections,0,0,0,0,0,0,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,Rt,3.04,3.56,3.89,3.9,4.15,4.87,Additional 50% Reduction,Sudan,SDN,2020-07-04,v3
2020-02-21,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,deaths,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,ICU_incidence,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,infections,0,0,0,0,0,0,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,Rt,3.04,3.56,3.89,3.9,4.15,4.87,Maintain Status Quo,Sudan,SDN,2020-07-04,v3
2020-02-21,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-21,deaths,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-21,hospital_incidence,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
2020-02-21,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Sudan,SDN,2020-07-04,v3
