date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-03-25,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-25,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-25,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Relax Interventions 50%,Angola,AGO,2020-06-27,v3
2020-03-25,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-25,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-25,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Relax Interventions 50%,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.66,1.79,1.9,1.92,2.04,2.26,Relax Interventions 50%,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-26,Rt,1.64,1.81,1.93,1.93,2.03,2.28,Surged Relax Interventions 50%,Angola,AGO,2020-06-27,v3
2020-03-27,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,deaths,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,hospital_incidence,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,ICU_incidence,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,infections,0,0,0,0,0,0,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,Rt,1.45,1.75,1.88,1.89,2.03,2.37,Additional 50% Reduction,Angola,AGO,2020-06-27,v3
2020-03-27,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-27,deaths,0,0,0,0,0,0,Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-27,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Angola,AGO,2020-06-27,v3
2020-03-27,hospital_incidence,0,0,0,0,0,0,Maintain Status Quo,Angola,AGO,2020-06-27,v3
