date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-02-24,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-24,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-24,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-24,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-24,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-24,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-25,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-26,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-27,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-28,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-28,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
2020-02-28,Rt,1.55,1.68,1.77,1.78,1.87,2.06,Relax Interventions 50%,Mozambique,MOZ,2020-06-27,v3
2020-02-28,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Additional 50% Reduction,Mozambique,MOZ,2020-06-27,v3
2020-02-28,Rt,1.58,1.7,1.77,1.79,1.86,2.12,Surged Maintain Status Quo,Mozambique,MOZ,2020-06-27,v3
